47.6079983, -122.3349983
45.4215, -75.6905
53.5444, -113.4909
49.2827, -123.1207
43.651070, -79.347015
48.4284, -123.3656
51.0453, -114.0639
45.2589, -66.0721
47.6062, -122.3321
44.6488, -63.5752
53.7267, -127.6476
49.8951, -97.1384
45.4214, -75.6919
44.6488, -63.5752
46.8139, -71.2080
42.9860, -81.2432
46.4918, -84.3458
48.4284, -123.3656
53.7267, -127.6476
46.8074, -71.2154
45.9636, -66.6431
53.9333, -116.5765
53.9333, -116.5765
53.5214, -113.5284
42.9634, -81.2477
53.2744, -110.7328
46.6188, -71.2306
44.6109, -79.4197
48.7317, -123.7145
49.4077, -82.2699
46.8123, -71.2145
51.0973, -114.1384
48.7761, -123.7071
45.4215, -73.6699
44.3894, -79.6886
53.5437, -113.4909
44.1554, -77.4299
43.4643, -80.5204
46.0999, -64.7977
45.5071, -73.5622
53.5420, -113.4909
43.1340, -79.2321
45.4109, -75.7076
43.0545, -76.1473
43.8975, -78.9427
53.5011, -113.5083
49.7670, -94.4931
45.3666, -75.6874
43.7184, -79.3774
49.8087, -99.9513
53.5461, -113.4909
